s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
1,1 of 2009,1,Extant (Notified),JKBH-26 (MH-595),Pearl millet,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E17 PG 24 07 094,12 February 2009,16 September 2012,14-Jun-2007  to 12-Feb-2009
2,2 of 2009,2,Extant (Notified),JKRH-401 (IET 18181)(JKRH 2000),Rice,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E9 0S23 07 103,12 February 2009,05 February 2022,14-Jun-2007  to 12-Feb-2009
3,3 of 2009,3,Extant (Notified),JKSH-22 (JKSH-161),Sorghum,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E16 SB25 07 110,12 February 2009,07 June 2014,14-Jun-2007  to 12-Feb-2009
4,4 of 2009,4,Extant (Notified),Shekhar-2 (KU300),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 VM2 07 144,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
5,5 of 2009,5,Extant (Notified),KU-91 (Azad Urd-2),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 VM3 07 145,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
6,6 of 2009,6,Extant (Notified),Azad Urd-3 (KU-96-3),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 VM6 07 148,12 February 2009,19 September 2021,05-Nov-2007  to 12-Feb-2009
7,7 of 2009,7,Extant (Notified),IPU-94-1 (Uttra),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 VM7 07 149,12 February 2009,02 April 2015,05-Nov-2007  to 12-Feb-2009
8,8 of 2009,8,Extant (Notified),KPMR-400 (Indra),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E1 PS1 07 153,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
9,9 of 2009,9,Extant (Notified),Vikas (IPFD-99-33),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 PS2 07 154,12 February 2009,24 August 2020,05-Nov-2007  to 12-Feb-2009
10,10 of 2009,10,Extant (Notified),KPMR-522 (JAY),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 PS3 07 155,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
11,11 of 2009,11,Extant (Notified),Pusa Panna (DDR-27),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 PS4 07 156,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
12,12 of 2009,12,Extant (Notified),Pusa Prabhat (DDR-23),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 PS5 07 157,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
13,13 of 2009,13,Extant (Notified),Prakash (IPFD 1-10),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 PS6 07 159,12 February 2009,24 April 2021,05-Nov-2007  to 12-Feb-2009
14,14 of 2009,14,Extant (Notified),ADARSH (IPF 99-25),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 PS7 07 160,12 February 2009,03 February 2019,05-Nov-2007  to 12-Feb-2009
15,15 of 2009,15,Extant (Notified),Malviya Matar-15 (HUDP-15),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 PS8 07 161,12 February 2009,02 April 2015,05-Nov-2007  to 12-Feb-2009
16,16 of 2009,16,Extant (Notified),Pusa Vishal,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 VR2 07 162,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
17,17 of 2009,17,Extant (Notified),Kamadeva (OUM-11-5),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 VR5 07 165,12 February 2009,03 February 2019,05-Nov-2007  to 12-Feb-2009
18,18 of 2009,18,Extant (Notified),Meha (IPM-99-125),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 VR6 07 166,12 February 2009,04 November 2020,05-Nov-2007  to 12-Feb-2009
19,19 of 2009,19,Extant (Notified),RMG 344 (DHANU),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E9 VR9 07 169,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
20,20 of 2009,20,Extant (Notified),Co-6 (COGG-902),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E10 VR10 07 170,12 February 2009,12 September 2015,05-Nov-2007  to 12-Feb-2009
21,21 of 2009,21,Extant (Notified),Noori (IPL-81),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E1 LC1 07 190,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
22,22 of 2009,22,Extant (Notified),Narendra Masoor-1 (NDL92-1),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 LC2 07 191,12 February 2009,08 September 2012,05-Nov-2007  to 12-Feb-2009
23,23 of 2009,23,Extant (Notified),VL Masoor-126 (VL-126),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 LC3 07 192,12 February 2009,05 February 2022,05-Nov-2007  to 12-Feb-2009
24,24 of 2009,24,Extant (Notified),Azad Masoor-1 (KLS-218),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 LC4 07 193,12 February 2009,04 November 2020,05-Nov-2007  to 12-Feb-2009
25,25 of 2009,25,Extant (Notified),DPL-62 (Sheri),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 LC5 07 194,12 February 2009,16 September 2012,05-Nov-2007  to 12-Feb-2009
26,26 of 2009,26,Extant (Notified),Utkarsh (IPR 98-5),Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E3 PV3 07 202,12 February 2009,04 November 2020,06-Nov-2007  to 12-Feb-2009
27,27 of 2009,27,Extant (Notified),GHB-719 (MH-1236),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E20 PG29 07 203,12 February 2009,05 February 2022,06-Nov-2007  to 12-Feb-2009
28,28 of 2009,28,Extant (Notified),GHB-538 (MH-1049),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E21 PG30  07 204,12 February 2009,24 August 2020,06-Nov-2007  to 12-Feb-2009
29,29 of 2009,29,Extant (Notified),Parbhani Sampada (PPC-6),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E24 PG33 07 207,12 February 2009,01 February 2020,06-Nov-2007  to 12-Feb-2009
30,30 of 2009,30,Extant (Notified),GHB-526 (MSH-105),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E26 PG 35 07 209,12 February 2009,11 March 2018,06-Nov-2007  to 12-Feb-2009
31,31 of 2009,31,Extant (Notified),GHB-558 (MH-946),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E27 PG36 07 210,12 February 2009,11 March 2018,06-Nov-2007  to 12-Feb-2009
32,32 of 2009,32,Extant (Notified),CSH-13,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E19 SB29 07 303,12 February 2009,08 September 2012,12-Nov-2007  to 12-Feb-2009
33,33 of 2009,33,Extant (Notified),CSH-16 (SPH-723),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E21 SB31 07 305,12 February 2009,08 September 2012,12-Nov-2007  to 12-Feb-2009
34,34 of 2009,34,Extant (Notified),CSH-18 (SPH-960),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E23 SB33 07 307,12 February 2009,25 October 2014,12-Nov-2007  to 12-Feb-2009
35,35 of 2009,35,Extant (Notified),HM-5,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E17 ZM38 07 311,12 February 2009,24 August 2020,15-Nov-2007  to 12-Feb-2009
36,36 of 2009,36,Extant (Notified),Pratap Hybrid Maize-1 (EH -50802),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E20 ZM42 07 315,12 February 2009,03 February 2019,15-Nov-2007  to 12-Feb-2009
37,37 of 2009,37,Extant (Notified),Gujarat Makai-2,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E26 ZM49 07 336,12 February 2009,03 May 2010,20-Nov-2007  to 12-Feb-2009
38,38 of 2009,38,Extant (Notified),Pusa Early Hybrid Makka-1 (EH-202892),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E41 ZM64 07 388,12 February 2009,16 September 2012,06-Dec-2007  to 12-Feb-2009
39,39 of 2009,39,Extant (Notified),COH-3,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E43 ZM67 07 400,12 February 2009,16 September 2012,26-Dec-2007  to 12-Feb-2009
40,40 of 2009,40,Extant (Notified),Vivek Maize Hybrid-15 (FH-3176),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E50 ZM74 07 407,12 February 2009,01 February 2020,26-Dec-2007  to 12-Feb-2009
41,41 of 2009,41,Extant (Notified),Azad Urd-1 (KU 91-2),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 VM8 07 150,16 April 2009,25 October 2014,05-Nov-2007  to 16-Apr-2009
42,42 of 2009,42,Extant (Notified),Barkha (RBU-38),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E10 VM10 07 152,16 April 2009,25 October 2014,05-Nov-2007  to 16-Apr-2009
43,43 of 2009,43,Extant (Notified),Ganga-8 (Gangotri),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 VR4 07 164,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
44,44 of 2009,44,Extant (Notified),BPMR 145,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 VR7 07 167,16 April 2009,03 September 2017,05-Nov-2007  to 16-Apr-2009
45,45 of 2009,45,Extant (Notified),RMG-492,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 VR8 07 168,16 April 2009,11 March 2018,05-Nov-2007  to 16-Apr-2009
46,46 of 2009,46,Extant (Notified),Pant Moong 4 (UPM-92-1),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E11 VR11 07 171,16 April 2009,16 September 2012,05-Nov-2007  to 16-Apr-2009
47,47 of 2009,47,Extant (Notified),HUM-6 (Malviya Janpriya),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E12 VR12 07 172,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
48,48 of 2009,48,Extant (Notified),OBGG-52,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E14 VR14 07 174,16 April 2009,03 February 2019,05-Nov-2007  to 16-Apr-2009
49,49 of 2009,49,Extant (Notified),COGG-912,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E16 VR16 07 176,16 April 2009,24 August 2020,05-Nov-2007  to 16-Apr-2009
50,50 of 2009,50,Extant (Notified),Malviya Janchetna (HUM-12),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E17 VR17 07 177,16 April 2009,11 March 2018,05-Nov-2007  to 16-Apr-2009
51,51 of 2009,51,Extant (Notified),Pusa-9531,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E18 VR18 07 178,16 April 2009,01 February 2016,05-Nov-2007  to 16-Apr-2009
52,52 of 2009,52,Extant (Notified),Malviya Jyoti (HUM-1),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E19 VR19 07 179,16 April 2009,07 June 2014,05-Nov-2007  to 16-Apr-2009
53,53 of 2009,53,Extant (Notified),Malviya Jagriti (HUM-2),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E20 VR20 07 180,16 April 2009,02 April 2015,05-Nov-2007  to 16-Apr-2009
54,54 of 2009,54,Extant (Notified),PDM-139,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E21 VR21 07 181,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
55,55 of 2009,55,Extant (Notified),CSV 216 (Phule Yashoda)(SPV-1359),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E18 SB28 07 302,16 April 2009,12 September 2015,12-Nov-2007  to 16-Apr-2009
56,56 of 2009,56,Extant (Notified),MP-406 (CZP-9802),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E30 PG39 07 213,16 April 2009,11 March 2018,06-Nov-2007  to 16-Apr-2009
57,57 of 2009,57,Extant (Notified),CoCu-9,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E31 PG 40 07 214,16 April 2009,24 August 2020,06-Nov-2007  to 16-Apr-2009
58,58 of 2009,58,Extant (Notified),HC-20-(HMP 9102),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E33 PG 42 07 216,16 April 2009,03 September 2017,06-Nov-2007  to 16-Apr-2009
59,59 of 2009,59,Extant (Notified),RHB-121 (MH-892),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E36 PG45 07 219,16 April 2009,14 November 2016,06-Nov-2007  to 16-Apr-2009
60,60 of 2009,60,Extant (Notified),COH (Cu)8,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E38 PG47 07 221,16 April 2009,14 November 2016,06-Nov-2007  to 16-Apr-2009
61,61 of 2009,61,Extant (Notified),Pusa Composite-383 (MP-383),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E39 PG48 07 222,16 April 2009,14 November 2016,06-Nov-2007  to 16-Apr-2009
62,62 of 2009,62,Extant (Notified),AIMP-92901 (Samrudhi-MP-282),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E41 PG50 07 224,16 April 2009,14 November 2016,06-Nov-2007  to 16-Apr-2009
63,63 of 2009,63,Extant (Notified),JBV-2 (GKKV-93191),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E47 PG56 07 230,16 April 2009,07 June 2014,06-Nov-2007  to 16-Apr-2009
64,64 of 2009,64,Extant (Notified),X-6 (MH-140),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E50 PG59 07 233,16 April 2009,30 April 2012,06-Nov-2007  to 16-Apr-2009
65,65 of 2009,65,Extant (Notified),Pusa Bajri-266 (MP-226),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E56 PG65 07 239,16 April 2009,30 April 2012,06-Nov-2007  to 16-Apr-2009
66,66 of 2009,66,Extant (Notified),RHRBH-8609 (Shraddha),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E59 PG68 07 242,16 April 2009,01 September 2009,06-Nov-2007  to 16-Apr-2009
67,67 of 2009,67,Extant (Notified),Pant Urd-31,Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E9VM9 07 151,20 July 2009,09 January 2023,05-Nov-2007  to 20-Jul-2009
68,68 of 2009,68,Extant (Notified),Kashi Nandini (VR-5),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E9 PS9 07 197,20 July 2009,24 April 2021,06-Nov-2007  to 20-Jul-2009
69,69 of 2009,69,Extant (Notified),Kashi Shakti (VR-7),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E11 PS11 07 199,20 July 2009,24 April 2021,06-Nov-2007  to 20-Jul-2009
70,70 of 2009,70,Extant (Notified),Kashi Mukti (VR-22),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E12 PS12 07 200,20 July 2009,24 April 2021,06-Nov-2007  to 20-Jul-2009
71,71 of 2009,71,Extant (Notified),Kashi Puram (IVFB-1),Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E2 V2 07 201,20 July 2009,27 November 2021,06-Nov-2007  to 20-Jul-2009
72,72 of 2009,72,Extant (Notified),HHB 67 Improved,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E22 PG31 07 205,20 July 2009,04 November 2020,06-Nov-2007  to 20-Jul-2009
73,73 of 2009,73,Extant (Notified),HHB-117,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E32 PG41 07 215,20 July 2009,30 May 2019,06-Nov-2007  to 20-Jul-2009
74,74 of 2009,74,Extant (Notified),Haryana Composite-10,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E44 PG53 07 227,20 July 2009,02 April 2015,06-Nov-2007  to 20-Jul-2009
75,75 of 2009,75,Extant (Notified),X-7,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E51 PG60 07 234,20 July 2009,08 September 2012,06-Nov-2007  to 20-Jul-2009
76,76 of 2009,76,Extant (Notified),RBH-30,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E55 PG64 07 238,20 July 2009,30 April 2012,06-Nov-2007  to 20-Jul-2009
77,77 of 2009,77,Extant (Notified),MP-4010,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E4 TA7 07 249,20 July 2009,11 March 2018,07-Nov-2007  to 20-Jul-2009
78,78 of 2009,78,Extant (Notified),WR-544 (Pusa Bold),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E7 TA10 07 252,20 July 2009,04 November 2020,07-Nov-2007  to 20-Jul-2009
79,79 of 2009,79,Extant (Notified),Shivalik (HS-420),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E8 TA11 07 253,20 July 2009,11 March 2018,07-Nov-2007  to 20-Jul-2009
80,80 of 2009,80,Extant (Notified),Chandrika (HPW-184),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E9 TA12 07 254,20 July 2009,01 February 2020,07-Nov-2007  to 20-Jul-2009
81,81 of 2009,81,Extant (Notified),VL Gehun-829,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E10 TA13 07 255,20 July 2009,11 March 2018,07-Nov-2007  to 20-Jul-2009
82,82 of 2009,82,Extant (Notified),VL Gehun 832,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E12 TA15 07 257,20 July 2009,03 February 2019,07-Nov-2007  to 20-Jul-2009
83,83 of 2009,83,Extant (Notified),Pusa Wheat 107(HD-2888),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E13 TA16 07 258,20 July 2009,24 April 2021,07-Nov-2007  to 20-Jul-2009
84,84 of 2009,84,Extant (Notified),Amrita (HI-1500),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E15 TA18 07 260,20 July 2009,11 March 2018,07-Nov-2007  to 20-Jul-2009
85,85 of 2009,85,Extant (Notified),Harshita (HI- 1531),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E16 TA19 07 261,20 July 2009,24 April 2021,07-Nov-2007  to 20-Jul-2009
86,86 of 2009,86,Extant (Notified),Shatabdi (K-0307),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E17 TA20 07 262,20 July 2009,05 February 2022,07-Nov-2007  to 20-Jul-2009
87,87 of 2009,87,Extant (Notified),Palam (HPW-147),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E18 TA21 07 263,20 July 2009,01 February 2020,07-Nov-2007  to 20-Jul-2009
88,88 of 2009,88,Extant (Notified),Tapovan (NIAW-917),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E19 TA22 07 264,20 July 2009,24 April 2021,07-Nov-2007  to 20-Jul-2009
89,89 of 2009,89,Extant (Notified),HS-365,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E20 TA23 07 265,20 July 2009,14 May 2013,07-Nov-2007  to 20-Jul-2009
90,90 of 2009,90,Extant (Notified),VL Gehun-802,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E21 TA24 07 266,20 July 2009,01 February 2020,07-Nov-2007  to 20-Jul-2009
91,91 of 2009,91,Extant (Notified),UP-2565,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E23 TA26 07 268,20 July 2009,24 April 2021,07-Nov-2007  to 20-Jul-2009
92,92 of 2009,92,Extant (Notified),Poorva (HD 2824),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E26 TA29 07 271,20 July 2009,03 February 2019,07-Nov-2007  to 20-Jul-2009
93,93 of 2009,93,Extant (Notified),HPW-155 (Onkar),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E29 TA32 07 274,20 July 2009,24 April 2021,07-Nov-2007  to 20-Jul-2009
94,94 of 2009,94,Extant (Notified),KRL-19,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E32 TA35 07 277,20 July 2009,02 April 2015,07-Nov-2007  to 20-Jul-2009
95,95 of 2009,95,Extant (Notified),HD-2733 (VSM),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E33 TA36 07 278,20 July 2009,01 February 2016,07-Nov-2007  to 20-Jul-2009
96,96 of 2009,96,Extant (Notified),GW-190,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E34 TA37 07 279,20 July 2009,01 September 2009,07-Nov-2007  to 20-Jul-2009
97,97 of 2009,97,Extant (Notified),NIAW-34,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E38 TA41 07 283,20 July 2009,30 April 2012,07-Nov-2007  to 20-Jul-2009
98,98 of 2009,98,Extant (Notified),Aditya (HD-2781),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E40 TA43 07 285,20 July 2009,03 September 2017,07-Nov-2007  to 20-Jul-2009
99,99 of 2009,99,Extant (Notified),Vidisha (DL788-2),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E41 TA44 07 286,20 July 2009,08 September 2012,07-Nov-2007  to 20-Jul-2009
100,100 of 2009,100,Extant (Notified),RAJ 4037,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E46 TA49 07 291,20 July 2009,03 February 2019,07-Nov-2007  to 20-Jul-2009
101,101 of 2009,101,Extant (Notified),Narendra Wheat 1014,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E47 TA50 07 292,20 July 2009,14 March 2013,07-Nov-2007  to 20-Jul-2009
102,102 of 2009,102,Extant (Notified),CSH-15R (SPH 677),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E20 SB30 07 304,20 July 2009,31 December 2010,12-Nov-2007  to 20-Jul-2009
103,103 of 2009,103,Extant (Notified),CSH-17 (SPH-660),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E22 SB32 07 306,20 July 2009,07 June 2014,12-Nov-2007  to 20-Jul-2009
104,104 of 2009,104,Extant (Notified),Birsa Makai-1,Maize,Cereals,"Birsa Agricultural University, Ranchi, Bihar",Public,19-Nov-2007,E24 ZM47 07 332,20 July 2009,31 December 2010,19-Nov-2007  to 20-Jul-2009
105,105 of 2009,105,Extant (Notified),Birsa Vikas Makka-2,Maize,Cereals,"Birsa Agricultural University, Ranchi, Bihar",Public,19-Nov-2007,E25 ZM48 07 333,20 July 2009,24 August 2020,19-Nov-2007  to 20-Jul-2009
106,106 of 2009,106,Extant,Pant Pea-13,Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E20 PS3 08 24,20 July 2009,09 January 2023,02-Jan-2008  to 20-Jul-2009
107,107 of 2009,107,Extant,Pant Pea-25,Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E24 PS6 08 29,20 July 2009,04 October 2022,02-Jan-2008  to 20-Jul-2009
108,108 of 2009,108,Extant,Pant Lentil-5,Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E27 LC5 08 34,20 July 2009,01 February 2016,02-Jan-2008  to 20-Jul-2009
109,109 of 2009,109,Extant,CSV-15,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E74 SB39 08 85,20 July 2009,19 May 2011,03-Jan-2008  to 20-Jul-2009
110,110 of 2009,110,Extant,Pratikshya (ORS 201-5)(IET-15191),Rice,Cereals,Orissa University of Agriculture & Technology,Public,5-May-2008,E262 OS94 08 369,20 July 2009,19 September 2021,05-May-2008  to 20-Jul-2009
111,111 of 2009,111,Extant,Jogesh (OR-15192) (IET-15169),Rice,Cereals,Orissa University of Agriculture & Technology,Public,5-May-2008,E263 OS95 08 370,20 July 2009,19 September 2021,05-May-2008  to 20-Jul-2009
112,112 of 2009,112,Extant,Nandi-52 (MH-1078) (NMH-45),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,8-Sep-2008,E322 PG20 08 446,20 July 2009,09 January 2023,08-Sep-2008  to 20-Jul-2009
113,113 of 2009,113,Extant,Nandi-62 (MH-1274) (NMH-68),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,18-Sep-2008,E323 PG21 08 448,20 July 2009,04 October 2022,18-Sep-2008  to 20-Jul-2009
114,114 of 2009,114,Extant,Nandi-35 (MH-889),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,18-Sep-2008,E324 PG22 08 449,20 July 2009,14 November 2016,18-Sep-2008  to 20-Jul-2009
115,115 of 2009,115,Extant,Nandi-8 (MH-741),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,18-Sep-2008,E325 PG23 08 450,20 July 2009,07 June 2014,18-Sep-2008  to 20-Jul-2009
116,116 of 2009,116,Extant,Nandi-30 (MH-515),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,18-Sep-2008,E326 PG24 08 451,20 July 2009,30 April 2012,18-Sep-2008  to 20-Jul-2009
117,117 of 2009,117,Extant,Nandi-32 (MH-773),Pearl millet,Cereals,New Nandi Seeds Corporation,Private,18-Sep-2008,E327 PG25 08 452,20 July 2009,25 October 2014,18-Sep-2008  to 20-Jul-2009
118,118 of 2009,118,New,W 6001,Wheat,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,CN1 TA01 07 022,21 December 2009,20 December 2024,21-May-2007  to 21-Dec-2009
