Entity,Role,Reason for absence
Monsanto Investments India Private Limited,Holds 50 per cent of Mahyco Monsanto Biotech (India) Private Limited. The Competition Commission of India's order records that MIIPL and Mahyco hold the 50:50 joint venture in MMBL.,"Absent from the register: an investment holding vehicle, not a breeder"
Mahyco Monsanto Biotech (India) Private Limited,"50:50 Mahyco / Monsanto Investments India, now within the Bayer group; sublicensed Bollgard and Bollgard II to over 45 seed companies","Absent from the register: licenses a transgenic trait, which is not a registrable plant variety under the Act"
Bejo Seeds India Private Limited,"Bejo Zaden B.V. Indian operation, Bengaluru",Absent from the register
